elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
1.34517,3.98631,24.7714,2.74681,15.6125,10.7678,1.28686,18.2009,-1.45995,6.28494,0,0.497265,4.81423,0.403016,0.374038,259.440002,283.769989,271.604996,1112.000000,243.37,266.485,254.927,998.597,-16.6777,-113.403
1.36533,3.63979,24.8834,2.77721,15.6858,11.1552,1.31697,18.2639,-1.46025,5.26813,0,0.509772,4.99231,0.397305,0.379862,266.640015,311.880005,289.260010,954.000000,251.468,274.489,262.979,1117.88,-26.2814,163.883
1.38557,3.19299,25.0363,2.81959,15.7547,11.5776,1.34792,18.4101,-1.47167,6.20675,0,0.52627,5.44413,0.402559,0.384201,270.679993,302.739990,286.709991,1027.000000,275.723,299.568,287.646,1113.13,0.935604,86.1295
1.40576,2.69283,25.149,2.85987,15.8159,12.0217,1.37783,18.5618,-1.48205,7.08223,0,0.500952,5.68957,0.377958,0.363451,276.850006,308.029999,292.440002,1144.000000,288.979,311.534,300.256,1158.09,7.81613,14.0869
1.42593,2.18375,25.2859,2.89832,15.8699,12.4862,1.4055,18.7388,-1.49281,5.8346,0,0.43199,5.79923,0.35316,0.319786,290.970001,309.179993,300.074997,1013.000000,296.255,316.365,306.31,1121.58,6.23489,108.585
1.44612,1.72957,25.3636,2.92626,15.9139,12.9475,1.43026,18.8509,-1.496,6.34285,0,0.372921,5.81682,0.323777,0.296083,291.100006,307.959991,299.529999,1013.000000,297.582,316.043,306.813,1126.99,7.28289,113.995
1.46627,1.15953,25.4684,2.96034,15.9505,13.4227,1.45316,19.0754,-1.50718,6.34891,0,0.350702,5.94448,0.283176,0.257969,302.880005,321.010010,311.945007,1097.000000,303.685,319.96,311.822,1190.16,-0.122851,93.1605
1.48647,0.510479,25.5573,2.99384,15.9818,13.913,1.47302,19.3637,-1.52082,7.05598,0,0.34145,6.2037,0.253113,0.223271,305.179993,311.489990,308.334991,1188.000000,319.102,333.286,326.194,1218.55,17.8592,30.5542
1.50667,0.0186973,25.6026,3.01525,16.0077,14.4202,1.49077,19.5114,-1.52448,7.23868,0,0.192961,6.44494,0.233254,0.206879,305.179993,311.489990,308.334991,1265.000000,331.863,345.093,338.478,1226.38,30.1429,-38.6227
1.52688,-0.496317,25.6494,3.03673,16.0276,14.9451,1.50707,19.6881,-1.52967,6.5819,0,0.262618,6.47651,0.211024,0.186017,321.579987,330.600006,326.089996,1123.000000,334.411,346.196,340.304,1256.56,14.2136,133.559
1.54705,-1.06676,25.6979,3.05067,16.0409,15.4702,1.5218,19.9318,-1.52887,6.33359,0,0.237265,6.5085,0.194307,0.166915,317.579987,333.869995,325.724991,1104.000000,336.62,347.099,341.86,1262.83,16.1347,158.83
1.5672,-1.6495,25.7455,3.06791,16.0477,15.9926,1.53542,20.2066,-1.53249,8.16737,0,0.219142,6.54041,0.185837,0.163602,323.579987,355.320007,339.449997,1302.000000,338.465,348.518,343.492,1269.06,4.04158,-32.9431
1.5874,-2.101,25.7728,3.08419,16.047,16.526,1.54985,20.368,-1.53435,6.74667,0,0.247908,6.68499,0.228636,0.20969,320.600006,340.320007,330.460007,1221.000000,344.137,357.006,350.572,1344.48,20.1117,123.483
1.60681,-2.79265,25.803,3.11278,16.0318,17.0544,1.57024,20.7581,-1.54254,6.19834,0,0.260674,6.80447,0.316714,0.313351,318.880005,341.720001,330.300003,1060.000000,348.76,367.993,358.376,1315.73,28.0764,255.732
1.62626,-3.2194,25.8089,3.13894,15.9974,17.5802,1.59711,20.9045,-1.54184,7.84653,0,0.400907,6.80675,0.396058,0.387742,318.880005,306.519989,312.699997,1353.000000,347.361,371.336,359.348,1317.96,46.6484,-35.0445
1.64557,-3.71977,25.8033,-3.11564,15.9421,18.1026,1.62916,21.1161,-1.53839,7.90713,0,0.453995,6.773,0.467735,0.451895,318.880005,351.619995,335.250000,1035.000000,342.15,369.929,356.04,1427.4,20.7897,392.404
1.66504,-4.27792,25.7641,-3.07994,15.8614,18.6378,1.66685,21.3629,-1.5364,7.84187,0,0.54544,6.81582,0.521161,0.505752,307.279999,351.619995,329.449997,1349.000000,346.099,377.475,361.787,1283.14,32.3373,-65.8571
1.68435,-4.78913,25.7138,-3.03865,15.7608,19.1468,1.70633,21.5737,-1.5382,6.07772,0,0.651795,6.72766,0.553917,0.536533,317.260010,351.619995,334.440002,976.000000,340.916,374.173,357.545,1293.6,23.1048,317.602
1.70395,-5.49383,25.6041,-2.9745,15.6364,19.655,1.74819,21.9518,-1.56049,8.20891,0,0.671701,6.64787,0.56195,0.544403,303.769989,351.519989,327.644989,1247.000000,336.782,370.415,353.599,1289.81,25.9537,42.8085
1.7232,-5.83725,25.5404,-2.94033,15.4916,20.1537,1.79007,21.9985,-1.55279,5.85787,0,0.689018,6.68226,0.563194,0.544754,309.179993,347.130005,328.154999,1016.000000,338.295,372.043,355.169,1300.45,27.0142,284.45
1.7426,-6.35276,25.3951,-2.88484,15.3276,20.6442,1.83086,22.1948,-1.56748,7.39778,0,0.620212,6.50747,0.521824,0.502813,297.549988,349.160004,323.354996,1342.000000,330.577,362.019,346.298,1190.75,22.9427,-151.253
