x,y,z,intensity,ring,angle_deg,range
-22.6808,-50.526,-2.12855,9,18,-114.175,55.424
-11.4313,-40.2845,-1.85464,1,19,-105.842,41.916
-12.5849,-34.5617,-1.84781,1,20,-110.008,36.828
-13.7074,-30.5359,-1.87777,1,21,-114.175,33.524
-7.03826,-24.8032,-1.59859,2,22,-105.842,25.832
-8.14633,-22.3721,-1.61729,3,23,-110.008,23.864
-8.94427,-19.9252,-1.61191,3,24,-114.175,21.9
-4.96897,-17.5109,-1.45045,5,25,-105.842,18.26
-5.84856,-16.0618,-1.46332,5,26,-110.008,17.156
-6.62466,-14.7578,-1.47986,5,27,-114.175,16.244
-3.84294,-13.5427,-1.37087,5,28,-105.842,14.144
-4.60277,-12.6405,-1.38946,7,29,-110.008,13.524
-3.8193,-10.4889,-1.35062,7,30,-110.008,11.244
-3.24268,-8.9053,-1.31424,6,31,-110.008,9.568
-2.83003,-7.77208,-1.29465,6,32,-110.008,8.372
-2.51324,-6.90207,-1.27946,6,33,-110.008,7.456
-2.25802,-6.20116,-1.26703,7,34,-110.008,6.72
-2.04538,-5.6172,-1.25344,11,35,-110.008,6.108
-1.86569,-5.12371,-1.23985,11,36,-110.008,5.592
-1.71479,-4.7093,-1.22786,10,37,-110.008,5.16
-1.21451,-3.33538,-1.20321,9,38,-110.008,3.748
-0.870142,-2.38966,-1.17149,12,39,-110.008,2.8
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-21.042,-57.7872,2.35394,1,5,-110.008,61.544
-26.6838,-59.4435,2.10686,1,6,-114.175,65.192
-15.8375,-55.8122,1.53435,14,7,-105.842,58.036
-20.2702,-55.6678,1.21717,13,8,-110.008,59.256
-25.0226,-55.7428,0.894775,17,9,-114.175,61.108
-15.2681,-53.8055,0.489046,15,10,-105.842,55.932
-19.6203,-53.8828,0.164122,9,11,-110.008,57.344
-24.1717,-53.8473,-0.178186,13,12,-114.175,59.024
-14.7974,-52.147,-0.483433,15,13,-105.842,54.208
-18.9326,-51.9942,-0.819974,12,14,-110.008,55.34
-23.2397,-51.771,-1.17581,13,15,-114.175,56.76
-14.1728,-49.9457,-1.38126,9,16,-105.842,51.936
-18.2886,-50.2256,-1.73954,13,17,-110.008,53.48
-22.6808,-50.526,-2.12855,9,18,-114.175,55.424
-11.4313,-40.2845,-1.85464,1,19,-105.842,41.916
-12.5849,-34.5617,-1.84781,1,20,-110.008,36.828
-13.7074,-30.5359,-1.87777,1,21,-114.175,33.524
-7.03826,-24.8032,-1.59859,2,22,-105.842,25.832
-8.14633,-22.3721,-1.61729,3,23,-110.008,23.864
-8.94427,-19.9252,-1.61191,3,24,-114.175,21.9
-4.96897,-17.5109,-1.45045,5,25,-105.842,18.26
-5.84856,-16.0618,-1.46332,5,26,-110.008,17.156
-6.62466,-14.7578,-1.47986,5,27,-114.175,16.244
-3.84294,-13.5427,-1.37087,5,28,-105.842,14.144
-4.60277,-12.6405,-1.38946,7,29,-110.008,13.524
-3.8193,-10.4889,-1.35062,7,30,-110.008,11.244
-3.24268,-8.9053,-1.31424,6,31,-110.008,9.568
-2.83003,-7.77208,-1.29465,6,32,-110.008,8.372
-2.51324,-6.90207,-1.27946,6,33,-110.008,7.456
-2.25802,-6.20116,-1.26703,7,34,-110.008,6.72
-2.04538,-5.6172,-1.25344,11,35,-110.008,6.108
-1.86569,-5.12371,-1.23985,11,36,-110.008,5.592
-1.71479,-4.7093,-1.22786,10,37,-110.008,5.16
-1.21451,-3.33538,-1.20321,9,38,-110.008,3.748
