try,kind,status,score,param.steering.ackerman_factor,param.tire.slip_angle_relaxation_length,param.tire.lateral_peak_scale,param.tire.lateral_stiffness_scale,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_y_rmse,yaw_rate_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error,warning
31,staged_genetic,ok,48.75606724651504,0.036632801638426304,0.0008126841905963205,1.8064477797773166,4.613591362784298,3.6110095810998644,-197.87101105385824,0.18230513104354307,540540.0689346993,30817.554550575365,skidpad_turning,,,,11.328029362960121,1.5136820423564978,1.9089044451513464,1.8966994313138492,0.2155166999846864,0.24464854915618492,86.48260293547274,302.9686962815504,740,,
32,staged_genetic,ok,48.172967053597326,0.0366127650372243,9.375415979213236e-05,1.7885428016267078,4.514116443489111,3.7075413322247055,-196.15095917025553,0.17686249514116764,466811.7261555352,31919.703280591813,skidpad_turning,,,,11.316360282633413,1.497101533759589,1.853024296425857,1.8399537665024508,0.21970248127407374,0.24898482921107654,82.48599018981017,292.0047797762527,741,,
33,staged_genetic,ok,58.984324014743684,0.0870514989149498,0.0038210061926672056,1.548013505983213,4.487766896930009,3.8096397134287443,-139.25509003482637,0.26202889877510577,852384.9127662022,56318.50521172558,skidpad_turning,,,,15.138947260160336,1.3602798366591267,2.3451793139528103,2.3388762866312764,0.17182470842713077,0.2748289815441862,111.47005094289152,387.7350338758338,735,,
34,staged_genetic,ok,67.44080844450632,0.09120234023831801,0.002859892934043117,2.6715607396326813,8.42608556547971,4.216732344067644,-124.4920826954399,0.43200185977462185,1127778.2107944726,57757.69562941867,skidpad_turning,,,,18.346203513701507,1.3982502416501656,2.589150941231049,2.584744384345559,0.15099358950539774,0.30580125987946005,123.99038501252384,432.80449952239604,721,,
35,staged_genetic,ok,48.5637398085672,0.04544838826346459,0.0,1.8278718507568543,4.604159076753093,3.436876203176462,-198.88925235875496,0.17185067534453463,583109.0814989522,30681.23212128937,skidpad_turning,,,,11.662610284586522,1.5401290630230111,1.8082284342820263,1.79426273973327,0.22430178633013195,0.2385259948202494,83.71691232665972,283.6317004530825,743,,
36,staged_genetic,ok,49.41520444521745,0.03473033830019272,0.0003985649948485018,1.837642293273672,4.6838540941097655,3.4783412723068543,-213.19818283600617,0.1711798539207104,442973.19325352134,33959.53192780243,skidpad_turning,,,,11.883673188543854,1.5281816891456192,1.8598932447870062,1.8462251705415413,0.22506777126721636,0.24354376078414497,85.59039485586514,294.41572700118047,721,,
37,staged_genetic,ok,48.69425371120666,0.0162486444013343,0.0,1.8786043074007979,4.833018161366247,3.499106715535468,-180.46236949977038,0.16895892089672593,472694.0919710117,34577.73376398522,skidpad_turning,,,,11.339240090241061,1.4722539399277907,1.910421666893975,1.8978751335573851,0.21858847811010723,0.25447109121867567,89.12508175762015,303.832215539183,721,,
38,staged_genetic,ok,52.62026581797766,0.03476037280968505,0.001647073429258173,1.8304600672913003,4.668245870226958,3.679656805392906,-197.14892512089526,0.1794079160821691,551042.6635041366,33416.131328049196,skidpad_turning,,,,12.473882061697479,1.3819536993597639,2.1666991145512156,2.1585706375053073,0.1875042823429777,0.26717806108475733,100.23306950642636,353.78116915342173,743,,
39,staged_genetic,ok,48.376701259919294,0.036627177141605585,0.00021593207752781273,1.8071591890603034,4.602302674379121,3.5982992704933423,-196.7640306735742,0.1758832328991718,587063.3271242487,31902.181021210206,skidpad_turning,,,,11.523839102356666,1.5232340738186712,1.8223036044263745,1.808546738279823,0.22349300249172221,0.24531501121294885,80.59531376663064,286.0157687216871,738,,
40,staged_genetic,ok,48.77269885512874,0.040446345204414993,0.0006787374758834112,1.8838202682611307,4.621116513565548,3.4488915193552403,-201.31547206764526,0.12724468364562594,451864.0159704229,35800.5924613045,skidpad_turning,,,,11.607790418358832,1.5388747024639817,1.843876814527384,1.830600001471831,0.22087404049137288,0.23841989473836472,85.39019450405509,289.7807376193248,737,,
41,staged_genetic,ok,48.14061519371537,0.03662783682109039,0.0006121206764727643,1.7880537245871482,4.566220187979804,3.6268745005672924,-194.2456830811631,0.17850894806974682,466201.11451068264,31151.209671359844,skidpad_turning,,,,11.271521284816892,1.4965807099117614,1.8607064032513523,1.847783097813212,0.21891994549697014,0.2457634312537587,84.4382273921947,293.2139236913817,741,,
42,staged_genetic,ok,48.84717967501986,0.02451271828233854,0.00032883873718774273,1.8235606549138215,4.54668167255007,3.619918405522344,-198.25806806664173,0.20427078662585013,488531.38919392263,31565.857586856182,skidpad_turning,,,,11.487064250450675,1.5173936783800124,1.8788614321164312,1.8661364481595133,0.2183003388572801,0.2477742182283093,87.17386458735508,297.10845437132946,740,,
